ID;District;Elevation;Slope;Aspect;Aspect_num;ELE;ELE_Geo;Age;Dg;HL;V;SI;geology;geology2;Geo;Geology3;TPI200;TPI500;TPI1000;TPI2000;SP200;SP500;SP1000;SP2000
184;Wêgierska Górka;680;20;SE;109;1;10;62;32,10896292;27,74284816;683,0581975;36,7;Slaska;Slaska;0;Istebnianskie dolne;13,148;43,71;20,853;-14,478;6;6;4;4
185;Wêgierska Górka;550;19;SE;155;1;10;82;25,83446535;25,66909978;524,9509874;30,7;Slaska;Slaska;0;Istebnianskie dolne;-13,318;-27,551;-34,82;-65,631;1;2;2;2
186;Jele˜nia;1205;20;NW;310;3;31;85;27,07490155;19,53838333;465,4187877;23,9;Magurska;Magurska;1;Warstwy Magurskie;12,719;45,233;96,922;187,45;6;6;6;6
187;Jele˜nia;930;18;NW;305;3;31;75;37,12960783;30,56995062;544,5127723;35,6;Magurska;Magurska;1;Warstwy Magurskie;-30,574;-70,084;-115,8;-223,12;1;1;1;1
188;Ujsoˆy;1045;19;SW;193;3;31;99;32,94667245;27,00741532;652,5833296;30,1;Magurska;Magurska;1;Warstwy Magurskie;-3,5154;36,573;108,59;170,73;4;6;6;6
189;Ujsoˆy;750;11;SW;180;1;11;72;35,57881324;34,12311963;898,4227735;39,9;Magurska;Magurska;1;Warstwy podmagurskie;1,6095;-4,5574;-28,591;-85,073;4;4;4;2
190;Ujsoˆy;980;20;NE;20;3;31;77;37,14071216;31,51602465;797,869128;37,2;Magurska;Magurska;1;Warstwy ˆ¥ckie;-18,337;-39,296;-10,398;33,063;1;1;4;4
191;Wêgierska Górka;900;18;SE;162;2;20;88;31,5553482;28,60532973;743,7068648;32,6;Slaska;Slaska;0;Istebnianskie dolne;-25,418;-59,846;-48,684;12,397;1;1;1;4
192;Wêgierska Górka;795;24;SW;256;2;20;63;26,15348056;22,52682445;421,0034718;31,2;Slaska;Slaska;0;Godulskie gorne;-9,7355;-41,493;-13,087;-4,3575;2;1;4;4
193;Wêgierska Górka;1080;30;SW;263;3;31;127;33,22176567;25,22160169;553,0364765;26;Slaska;Slaska;1;Godulskie gorne;-0,79517;-26,776;-10,769;50,619;4;2;4;5
194;Wêgierska Górka;700;22;SE;153;1;10;91;29,98046189;27,30412924;621,5993845;31,1;Slaska;Slaska;0;Istebnianskie dolne;1,7203;-8,2501;11,764;48,218;4;4;4;5
195;Ujsoˆy;1175;7;SE;125;3;31;114;45,57370548;26,3784156;449,2755268;26,7;Magurska;Magurska;1;Warstwy Magurskie;19,726;49,647;65,569;131,81;6;6;6;6
196;Ujsoˆy;910;20;NW;270;2;21;130;50,61923934;37,31781777;576,2499907;36,4;Magurska;Magurska;1;Warstwy Magurskie;6,123;11,667;-22,059;-57,109;5;4;4;2
197;Wêgierska Górka;835;6;SW;193;2;20;86;41,73399198;31,00551675;574,7988898;34,3;Slaska;Slaska;0;Istebnianskie dolne;0,27338;-5,3958;-4,1689;-14,656;4;4;4;4
198;Wêgierska Górka;790;18;NE;65;2;21;58;31,83464631;28,83811701;363,107357;37,8;Slaska;Slaska;1;Godulskie gorne;-0,47223;16,518;38,914;37,885;4;4;5;4
199;Wêgierska Górka;1040;24;NW;355;3;31;122;39,35054637;26,77679048;484,2256398;27,1;Slaska;Slaska;1;Godulskie gorne;18,354;51,203;67,741;113,7;6;6;6;6
200;Wêgierska Górka;900;19;SW;265;2;20;75;30,80639919;26,93716373;799,3884956;32,5;Slaska;Slaska;0;Godulskie dolne;-17,185;-24,64;-33,937;-29,391;1;2;2;4
201;Wêgierska Górka;880;2;SW;202;2;21;108;30,60558944;25,42102034;814,5607996;28;Magurska;Magurska;1;Warstwy ropianieckie;2,7766;8,472;8,1265;-26,623;4;4;4;4
202;Wêgierska Górka;1060;15;NW;335;3;31;102;34,6943214;28,29617817;971,0694618;30,2;Magurska;Magurska;1;Piaskowce hieroglifowe;0,91699;1,0945;2,527;66,806;4;4;4;5
203;Jele˜nia;1005;16;SE;130;3;31;66;25,73944733;22,23848053;638,5788924;30,3;Inne;Inne -magurska;1;Warstwy koluwialne;22,309;67,552;104,96;188,64;6;6;6;6
204;Wisˆa;720;17;NW;270;1;10;65;25,24816825;24,85638097;627,9639803;34,3;Slaska;Slaska;0;Godulskie gorne;-8,2193;2,6791;-21,328;-73,543;2;4;4;1
205;Jele˜nia;875;10;NE;40;2;21;58;26,79101935;24,67542221;521,9100497;34,9;inne;Inne -magurska;1;Warstwy koluwialne;-1,9018;-33,083;-62,686;-117,98;4;2;2;1
206;Wêgierska Górka;910;11;NE;20;2;20;90;39,94299615;30,63175561;493,1717162;33,2;Slaska;Slaska;0;Istebnianskie dolne;-9,7859;-45,512;-16,277;66,191;2;1;4;6
207;Ujsoˆy;840;11;NE;37;2;21;138;45,53761632;38,37562983;548,900794;37,4;Magurska;Magurska;1;Warstwy ˆ¥ckie;-2,6902;-11,739;1,3086;-7,5541;4;4;4;4
